S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
53,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1728000,-,1184,Strata,26 to 30,1459,Nov-21
54,BOTANNIA,WEST COAST PARK,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1638000,-,1249,Strata,01 to 05,1312,Nov-21
55,CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 yrs lease commencing from 1999,Resale,1,2280000,-,1356,Strata,06 to 10,1681,Nov-21
56,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1478000,-,764,Strata,11 to 15,1934,Nov-21
57,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1641153,-,732,Strata,11 to 15,2242,Nov-21
58,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1680000,-,893,Strata,11 to 15,1880,Nov-21
59,THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 yrs lease commencing from 2005,Resale,1,1800000,-,1302,Strata,16 to 20,1382,Nov-21
60,ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,Freehold,Resale,1,1345000,-,1098,Strata,01 to 05,1225,Nov-21
61,ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2005,Resale,1,2485000,-,1528,Strata,11 to 15,1626,Nov-21
62,ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2005,Resale,1,1808000,-,1141,Strata,31 to 35,1585,Nov-21
63,BOTANNIA,WEST COAST PARK,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1700000,-,1292,Strata,06 to 10,1316,Nov-21
64,THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,Condominium,4,RCR,99 yrs lease commencing from 2002,Resale,1,1430000,-,1292,Strata,01 to 05,1107,Nov-21
65,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,5480000,-,4704,Strata,16 to 20,1165,Nov-21
66,BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2000,Resale,1,1465000,-,1216,Strata,11 to 15,1204,Nov-21
67,HUNDRED TREES,WEST COAST DRIVE,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,2238000,-,1475,Strata,06 to 10,1518,Nov-21
68,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,Resale,1,1000000,-,495,Strata,16 to 20,2020,Nov-21
69,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1603500,-,657,Strata,16 to 20,2442,Nov-21
70,ALTEZ,ENGGOR STREET,Apartment,2,CCR,99 yrs lease commencing from 2008,Resale,1,1158000,-,527,Strata,11 to 15,2196,Nov-21
71,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1600000,-,883,Strata,46 to 50,1813,Nov-21
72,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,2280000,-,1421,Strata,16 to 20,1605,Nov-21
73,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,3280000,-,3434,Strata,01 to 05,955,Nov-21
74,ECHELON,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2450000,-,1475,Strata,06 to 10,1661,Nov-21
75,HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1996,Resale,1,1235000,-,969,Strata,06 to 10,1275,Nov-21
76,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1673250,-,689,Strata,26 to 30,2429,Nov-21
77,THE VISION,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2008,Resale,1,3618000,-,2702,Strata,31 to 35,1339,Nov-21
78,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1400000,-,753,Strata,06 to 10,1858,Nov-21
79,BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2000,Resale,1,1020000,-,936,Strata,01 to 05,1089,Nov-21
80,MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,1,CCR,99 yrs lease commencing from 2005,Resale,1,2450000,-,1066,Strata,11 to 15,2299,Nov-21
81,THE ANCHORAGE,ALEXANDRA ROAD,Condominium,3,RCR,Freehold,Resale,1,2380000,-,1507,Strata,06 to 10,1579,Nov-21
82,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,2035000,-,1152,Strata,01 to 05,1767,Nov-21
83,PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,1,RCR,99 yrs lease commencing from 1968,Resale,1,700000,-,1119,Strata,21 to 25,625,Nov-21
84,DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1993,Resale,1,1035000,-,936,Strata,06 to 10,1105,Nov-21
85,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,1560000,-,915,Strata,26 to 30,1705,Nov-21
86,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,1890000,-,1356,Strata,21 to 25,1394,Nov-21
87,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1600000,-,807,Strata,06 to 10,1982,Nov-21
88,THE COAST AT SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2006,Resale,1,3520000,-,2024,Strata,06 to 10,1739,Nov-21
89,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1584495,-,710,Strata,11 to 15,2230,Nov-21
90,THE FOLIAGE,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,1370000,-,958,Strata,01 to 05,1430,Nov-21
91,THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,1600000,-,1033,Strata,11 to 15,1548,Nov-21
92,DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1993,Resale,1,1080000,-,969,Strata,01 to 05,1115,Nov-21
93,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,1500000,-,1001,Strata,11 to 15,1498,Nov-21
94,HUNDRED TREES,WEST COAST DRIVE,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,745000,-,484,Strata,01 to 05,1538,Nov-21
95,SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,2,RCR,Freehold,Resale,1,1888888,-,915,Strata,11 to 15,2064,Nov-21
96,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1800000,-,1119,Strata,01 to 05,1608,Nov-21
97,ECHELON,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2400000,-,1313,Strata,11 to 15,1828,Nov-21
98,HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1996,Resale,1,1242000,-,969,Strata,11 to 15,1282,Nov-21
99,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1580000,-,893,Strata,11 to 15,1769,Nov-21
100,TWIN REGENCY,KIM TIAN ROAD,Condominium,3,RCR,Freehold,Resale,1,1940000,-,980,Strata,31 to 35,1981,Nov-21
101,THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,Condominium,4,RCR,99 yrs lease commencing from 2002,Resale,1,1540000,-,1173,Strata,06 to 10,1313,Nov-21
102,THE MAYLEA,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,1408000,-,969,Strata,01 to 05,1453,Nov-21
103,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,Freehold,Resale,1,1690000,-,829,Strata,06 to 10,2039,Nov-21
104,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,940000,-,484,Strata,21 to 25,1941,Nov-21
105,THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 yrs lease commencing from 2005,Resale,1,2650000,-,1948,Strata,16 to 20,1360,Nov-21
106,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1450000,-,753,Strata,26 to 30,1924,Nov-21
107,ICON,GOPENG STREET,Apartment,2,CCR,99 yrs lease commencing from 2002,Resale,1,1545000,-,904,Strata,11 to 15,1709,Nov-21
108,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1615000,-,1152,Strata,21 to 25,1402,Nov-21
109,GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,1680000,-,1453,Strata,01 to 05,1156,Nov-21
110,SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,Freehold,Resale,1,1200000,-,710,Strata,31 to 35,1689,Nov-21
111,TURQUOISE,COVE DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,3145820,-,2099,Strata,01 to 05,1499,Nov-21
112,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1860000,-,1249,Strata,01 to 05,1490,Nov-21
113,ALTEZ,ENGGOR STREET,Apartment,2,CCR,99 yrs lease commencing from 2008,Resale,1,1188000,-,603,Strata,11 to 15,1971,Nov-21
114,PASIR PANJANG COURT,PASIR PANJANG CLOSE,Apartment,5,RCR,Freehold,Resale,1,1818000,-,1346,Strata,01 to 05,1351,Nov-21
115,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,5000000,-,2164,Strata,46 to 50,2311,Nov-21
116,THE CLIFT,MCCALLUM STREET,Apartment,1,CCR,99 yrs lease commencing from 2004,Resale,1,1030000,-,495,Strata,16 to 20,2080,Nov-21
117,PARC IMPERIAL,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,705000,-,388,Strata,01 to 05,1819,Nov-21
118,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,1880000,-,1216,Strata,11 to 15,1546,Nov-21
119,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,895000,-,484,Strata,06 to 10,1848,Nov-21
120,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1360000,-,990,Strata,01 to 05,1373,Nov-21
121,BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,Condominium,5,RCR,Freehold,Resale,1,2300000,-,1916,Strata,01 to 05,1200,Nov-21
122,PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,1,RCR,99 yrs lease commencing from 1968,Resale,1,1350000,-,1604,Strata,21 to 25,842,Nov-21
123,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,Resale,1,1305000,-,775,Strata,16 to 20,1684,Nov-21
124,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,Freehold,Resale,1,1780000,-,829,Strata,11 to 15,2148,Nov-21
125,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,680000,-,484,Strata,01 to 05,1404,Nov-21
126,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,2060000,-,1292,Strata,21 to 25,1595,Nov-21
127,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1810000,-,904,Strata,31 to 35,2002,Nov-21
128,THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,2160000,-,1399,Strata,26 to 30,1544,Nov-21
129,CARABELLE,WEST COAST WAY,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1880000,-,1259,Strata,06 to 10,1493,Nov-21
130,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1575852,-,721,Strata,06 to 10,2185,Nov-21
131,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1660359,-,753,Strata,16 to 20,2204,Nov-21
132,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1605800,-,657,Strata,16 to 20,2446,Nov-21
133,CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,Condominium,3,RCR,99 yrs lease commencing from 1992,Resale,1,1780000,-,1292,Strata,01 to 05,1378,Nov-21
134,TURQUOISE,COVE DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,3140000,-,2142,Strata,01 to 05,1466,Nov-21
135,THE FOLIAGE,PASIR PANJANG ROAD,Condominium,5,RCR,Freehold,Resale,1,1355000,-,958,Strata,01 to 05,1414,Nov-21
136,PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,1,RCR,99 yrs lease commencing from 1968,Resale,1,988000,-,1119,Strata,21 to 25,883,Nov-21
137,DORSETT RESIDENCES,NEW BRIDGE ROAD,Apartment,2,RCR,99 yrs lease commencing from 2009,Resale,1,1540000,-,743,Strata,01 to 05,2073,Nov-21
138,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2880000,-,1518,Strata,16 to 20,1898,Nov-21
139,ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,Freehold,Resale,1,998000,-,657,Strata,01 to 05,1520,Nov-21
140,V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,3545100,-,1755,Strata,46 to 50,2021,Nov-21
141,V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,3597750,-,1755,Strata,41 to 45,2051,Nov-21
142,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1579694,-,710,Strata,06 to 10,2224,Nov-21
143,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1280000,-,689,Strata,16 to 20,1858,Nov-21
144,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,2510000,-,2239,Strata,21 to 25,1121,Nov-21
145,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1250000,-,904,Strata,06 to 10,1382,Nov-21
146,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1680000,-,958,Strata,21 to 25,1754,Nov-21
147,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1960000,-,1302,Strata,01 to 05,1505,Nov-21
148,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,5,OCR,99 yrs lease commencing from 2006,Resale,1,1950000,-,1625,Strata,01 to 05,1200,Nov-21
149,HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1996,Resale,1,1480000,-,1206,Strata,01 to 05,1228,Nov-21
150,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,3180000,-,1755,Strata,01 to 05,1812,Nov-21
151,SEASCAPE,COVE WAY,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,9978900,-,4069,Strata,06 to 10,2453,Nov-21
152,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,1390000,-,915,Strata,01 to 05,1519,Nov-21
153,HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1996,Resale,1,2950000,-,2626,Strata,16 to 20,1123,Nov-21
154,THE FORESTA @ MOUNT FABER,WISHART ROAD,Condominium,4,RCR,Freehold,Resale,1,1350000,-,721,Strata,01 to 05,1872,Nov-21
155,THE ARRIS,YAN KIT ROAD,Apartment,2,RCR,Freehold,Resale,1,1918000,-,980,Strata,06 to 10,1958,Nov-21
156,SEASCAPE,COVE WAY,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,6180000,-,2852,Strata,01 to 05,2167,Oct-21
157,SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2011,Resale,1,1188000,-,861,Strata,16 to 20,1380,Oct-21
158,SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2011,Resale,1,1120000,-,710,Strata,26 to 30,1577,Oct-21
159,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,935000,-,474,Strata,41 to 45,1974,Oct-21
160,BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2000,Resale,1,1420000,-,1163,Strata,16 to 20,1221,Oct-21
161,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1530000,-,689,Strata,11 to 15,2221,Oct-21
162,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,2688888,-,1894,Strata,06 to 10,1419,Oct-21
163,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,905000,-,495,Strata,21 to 25,1828,Oct-21
164,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1250000,-,818,Strata,01 to 05,1528,Oct-21
