S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,EMERALD GARDEN,CLUB STREET,Condominium,1,RCR,999 yrs lease commencing from 1827,Resale,1,2150000,-,1055,Strata,11 to 15,2038,Dec-21
2,THE FORESTA @ MOUNT FABER,WISHART ROAD,Condominium,4,RCR,Freehold,Resale,1,2460000,-,1539,Strata,01 to 05,1598,Dec-21
3,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,3220000,-,1647,Strata,26 to 30,1955,Dec-21
4,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,2300000,-,936,Strata,36 to 40,2456,Dec-21
5,76 SHENTON,SHENTON WAY,Apartment,2,CCR,99 yrs lease commencing from 2007,Resale,1,1850000,-,980,Strata,31 to 35,1889,Dec-21
6,THE FORESTA @ MOUNT FABER,WISHART ROAD,Condominium,4,RCR,Freehold,Resale,1,1160000,-,538,Strata,01 to 05,2155,Dec-21
7,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,2853948,-,1711,Strata,06 to 10,1668,Dec-21
8,TURQUOISE,COVE DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,3450000,-,2153,Strata,01 to 05,1603,Dec-21
9,CARABELLE,WEST COAST WAY,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,2900000,-,2067,Strata,11 to 15,1403,Dec-21
10,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,980000,-,710,Strata,01 to 05,1379,Dec-21
11,ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2005,Resale,1,2650000,-,1604,Strata,31 to 35,1652,Dec-21
12,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,2190000,-,1518,Strata,16 to 20,1443,Nov-21
13,ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,Resale,1,1400000,-,678,Strata,21 to 25,2064,Nov-21
14,QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1638000,-,1184,Strata,26 to 30,1383,Nov-21
15,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1580000,-,1152,Strata,06 to 10,1372,Nov-21
16,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,2930000,-,1851,Strata,01 to 05,1583,Nov-21
17,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,4620000,-,1561,Strata,26 to 30,2960,Nov-21
18,SKYSUITES@ANSON,ENGGOR STREET,Apartment,2,CCR,99 yrs lease commencing from 2008,Resale,1,2000000,-,1001,Strata,71 to 75,1998,Nov-21
19,MONTEREY PARK CONDOMINIUM,WEST COAST RISE,Condominium,5,OCR,999 yrs lease commencing from 1885,Resale,1,2600000,-,2056,Strata,01 to 05,1265,Nov-21
20,WEST BAY CONDOMINIUM,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 1991,Resale,1,1000000,-,1216,Strata,01 to 05,822,Nov-21
21,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,1660000,-,1044,Strata,11 to 15,1590,Nov-21
22,SEVEN PALMS SENTOSA COVE,COVE DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2007,Resale,1,10200000,-,3584,Strata,01 to 05,2846,Nov-21
23,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1390000,-,969,Strata,01 to 05,1435,Nov-21
24,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2480000,-,1184,Strata,06 to 10,2095,Nov-21
25,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1776600,-,743,Strata,26 to 30,2392,Nov-21
26,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1800000,-,1109,Strata,01 to 05,1624,Nov-21
27,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,6136000,-,3724,Strata,06 to 10,1648,Nov-21
28,ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,Freehold,Resale,1,720000,-,388,Strata,01 to 05,1858,Nov-21
29,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,4510000,-,1593,Strata,31 to 35,2831,Nov-21
30,BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2000,Resale,1,1070000,-,926,Strata,11 to 15,1156,Nov-21
31,THE INFINITI,WEST COAST PARK,Condominium,5,OCR,Freehold,Resale,1,1560000,-,1259,Strata,06 to 10,1239,Nov-21
32,THE STELLAR,WEST COAST ROAD,Condominium,5,OCR,Freehold,Resale,1,1480000,-,1044,Strata,01 to 05,1417,Nov-21
33,SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,Freehold,Resale,1,880000,-,388,Strata,16 to 20,2271,Nov-21
34,BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,Condominium,5,RCR,Freehold,Resale,1,1452000,-,1249,Strata,01 to 05,1163,Nov-21
35,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,858800,-,538,Strata,21 to 25,1596,Nov-21
36,CARABELLE,WEST COAST WAY,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1758888,-,1302,Strata,01 to 05,1350,Nov-21
37,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1550000,-,904,Strata,06 to 10,1714,Nov-21
38,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,2820000,-,2142,Strata,01 to 05,1317,Nov-21
39,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,2307000,-,1313,Strata,26 to 30,1757,Nov-21
40,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1120000,-,614,Strata,26 to 30,1825,Nov-21
41,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1250000,-,678,Strata,26 to 30,1843,Nov-21
42,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1600000,-,861,Strata,26 to 30,1858,Nov-21
43,SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,2,RCR,Freehold,Resale,1,2150000,-,958,Strata,31 to 35,2244,Nov-21
44,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1500000,-,797,Strata,31 to 35,1883,Nov-21
45,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,2340000,-,1507,Strata,01 to 05,1553,Nov-21
46,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1559527,-,700,Strata,01 to 05,2229,Nov-21
47,SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2011,Resale,1,930000,-,689,Strata,16 to 20,1350,Nov-21
48,ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2008,Resale,1,1620000,-,947,Strata,16 to 20,1710,Nov-21
49,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,Resale,1,1600000,-,1184,Strata,16 to 20,1351,Nov-21
50,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,Freehold,Resale,1,2950000,-,1346,Strata,06 to 10,2192,Nov-21
51,THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 yrs lease commencing from 2002,Resale,1,1018000,-,592,Strata,11 to 15,1720,Nov-21
52,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,3400000,-,1873,Strata,01 to 05,1815,Nov-21
