S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,BLISS VILLE,LORONG MELAYU,Apartment,14,OCR,Freehold,Resale,1,1550000,-,1658,Strata,01 to 05,935,Dec-21
2,THE NCLAVE,LORONG N TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1450000,-,1367,Strata,01 to 05,1061,Dec-21
3,CUBIK,LORONG K TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1370000,-,1023,Strata,01 to 05,1340,Dec-21
4,VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 yrs lease commencing from 1995,Resale,1,1688000,-,1507,Strata,01 to 05,1120,Dec-21
5,TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,1450000,-,915,Strata,36 to 40,1585,Dec-21
6,GRAND DUCHESS AT ST PATRICK'S,ST. PATRICK'S ROAD,Condominium,15,OCR,Freehold,Resale,1,3950000,-,2508,Strata,01 to 05,1575,Dec-21
7,STUDIOS@TEMBELING,TEMBELING ROAD,Apartment,15,RCR,Freehold,Resale,1,1210000,-,1141,Strata,01 to 05,1060,Dec-21
8,CITY SUITES,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,751000,-,452,Strata,06 to 10,1661,Dec-21
9,THE MONTAGE,LORONG M TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,900000,-,657,Strata,01 to 05,1371,Dec-21
10,CUBIK,LORONG K TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,675000,-,484,Strata,01 to 05,1394,Dec-21
11,REGAL COURT,KIM KEAT ROAD,Apartment,12,RCR,Freehold,Resale,1,965000,-,915,Strata,01 to 05,1055,Dec-21
12,COSTA RHU,RHU CROSS,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,3320000,-,2164,Strata,06 to 10,1535,Dec-21
13,SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,1908000,-,1098,Strata,06 to 10,1738,Dec-21
14,THE SEAWIND,LORONG M TELOK KURAU,Condominium,15,OCR,Freehold,Resale,1,1138000,-,657,Strata,01 to 05,1733,Dec-21
15,SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1480000,-,1238,Strata,01 to 05,1196,Dec-21
16,8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 yrs lease commencing from 2008,Resale,1,636000,-,398,Strata,11 to 15,1597,Dec-21
17,FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,Freehold,Resale,1,2380000,-,1485,Strata,01 to 05,1602,Dec-21
18,TREASURES @ G20,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,510000,-,495,Strata,06 to 10,1030,Dec-21
19,D'ECOSIA,STILL ROAD SOUTH,Condominium,15,OCR,Freehold,Resale,1,782000,-,506,Strata,01 to 05,1546,Dec-21
20,HILLS APARTMENT,GOLDHILL AVENUE,Apartment,11,CCR,Freehold,Resale,1,6300000,-,3638,Strata,01 to 05,1732,Dec-21
21,MOONSTONE RESIDENCES,MOONSTONE LANE,Apartment,12,RCR,Freehold,Resale,1,1350000,-,1238,Strata,01 to 05,1091,Dec-21
22,SHELFORD 23,SHELFORD ROAD,Apartment,11,CCR,Freehold,Resale,1,2100000,-,1195,Strata,01 to 05,1758,Dec-21
23,THE TRUMPS,JALAN KEMBANGAN,Condominium,14,OCR,99 yrs lease commencing from 2000,Resale,1,853888,-,646,Strata,11 to 15,1322,Nov-21
24,THE GERANIUM,MANGIS ROAD,Condominium,15,RCR,Freehold,Resale,1,1228000,-,947,Strata,01 to 05,1296,Nov-21
25,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,818000,-,484,Strata,11 to 15,1689,Nov-21
26,GLOBAL VILLE,JALAN RAJA UDANG,Apartment,12,RCR,Freehold,Resale,1,1148000,-,893,Strata,01 to 05,1285,Nov-21
27,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1060000,-,700,Strata,11 to 15,1515,Nov-21
28,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1030000,-,700,Strata,01 to 05,1472,Nov-21
29,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1330000,-,936,Strata,16 to 20,1420,Nov-21
30,PARK INFINIA AT WEE NAM,LINCOLN ROAD,Condominium,11,CCR,Freehold,Resale,1,3625000,-,1668,Strata,26 to 30,2173,Nov-21
31,SHELFORD SUITES,SHELFORD ROAD,Condominium,11,CCR,Freehold,Resale,1,3850000,-,4112,Strata,01 to 05,936,Nov-21
32,SINGA HILLS,JALAN SINGA,Apartment,14,OCR,Freehold,Resale,1,1468000,-,1163,Strata,01 to 05,1263,Nov-21
33,ROYALE MANSIONS,PULASAN ROAD,Apartment,15,RCR,Freehold,Resale,1,1460000,-,1216,Strata,01 to 05,1200,Nov-21
34,SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,Condominium,15,OCR,Freehold,Resale,1,1260000,-,732,Strata,01 to 05,1721,Nov-21
35,GROSVENOR VIEW,LENGKONG EMPAT,Condominium,14,OCR,Freehold,Resale,1,788800,-,657,Strata,06 to 10,1201,Nov-21
36,DAKOTA RESIDENCES,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2007,Resale,1,3000000,-,1830,Strata,06 to 10,1639,Nov-21
37,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,2050000,-,1130,Strata,11 to 15,1814,Nov-21
38,COTE D'AZUR,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2001,Resale,1,1300000,-,840,Strata,21 to 25,1548,Nov-21
39,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1880000,-,1582,Strata,16 to 20,1188,Nov-21
40,SUITES TWENTY-TWO,LORONG G TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1330000,-,1098,Strata,01 to 05,1211,Nov-21
41,THE SANCTUARY @ GEYLANG,LORONG 30 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,750000,-,560,Strata,01 to 05,1340,Nov-21
42,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,725000,-,710,Strata,01 to 05,1021,Nov-21
43,KINGSLEY MANSIONS,BOON TECK ROAD,Apartment,12,RCR,Freehold,Resale,1,1780000,-,1356,Strata,06 to 10,1312,Nov-21
44,RITZ MANSIONS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1580000,-,1281,Strata,01 to 05,1233,Nov-21
45,RIVIERA 38,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,1000000,-,743,Strata,21 to 25,1346,Nov-21
46,AMBER RESIDENCES,AMBER ROAD,Condominium,15,RCR,Freehold,Resale,1,2028000,-,1163,Strata,01 to 05,1744,Nov-21
47,THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,103 yrs lease commencing from 2009,Resale,1,1570000,-,893,Strata,16 to 20,1757,Nov-21
48,MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 yrs lease commencing from 1982,Resale,1,1730000,-,1572,Strata,01 to 05,1101,Nov-21
49,THE ATRIA AT MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,2500000,-,1346,Strata,06 to 10,1858,Nov-21
50,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,1150000,-,624,Strata,16 to 20,1842,Nov-21
51,ONE ST MICHAEL'S,ST. MICHAEL'S ROAD,Condominium,12,RCR,Freehold,Resale,1,1880000,-,1378,Strata,11 to 15,1365,Nov-21
52,ST MICHAEL'S PLACE,JALAN TAMAN,Apartment,12,RCR,Freehold,Resale,1,1505000,-,1227,Strata,06 to 10,1226,Nov-21
53,THE LINC,LINCOLN ROAD,Apartment,11,CCR,Freehold,Resale,1,2600000,-,1292,Strata,16 to 20,2013,Nov-21
54,THE WATER EDGE,LORONG 38 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,650000,-,431,Strata,01 to 05,1510,Nov-21
55,PINNACLE 16,SHAN ROAD,Apartment,12,RCR,Freehold,Resale,1,910000,-,592,Strata,16 to 20,1537,Nov-21
56,THE MEZZO,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1285000,-,840,Strata,16 to 20,1531,Nov-21
57,PRESTIGE HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,573000,-,388,Strata,06 to 10,1479,Nov-21
58,ASTOR,LENGKONG EMPAT,Apartment,14,OCR,99 yrs lease commencing from 2002,Resale,1,1070000,-,1087,Strata,06 to 10,984,Nov-21
59,STARVILLE,LENGKONG TIGA,Condominium,14,OCR,Freehold,Resale,1,1335000,-,1216,Strata,01 to 05,1098,Nov-21
60,THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,3200000,-,1604,Strata,11 to 15,1995,Nov-21
61,THE GLYNDEBOURNE,TREVOSE CRESCENT,Condominium,11,CCR,Freehold,Resale,1,4580000,-,1959,Strata,01 to 05,2338,Nov-21
62,PARC ELEGANCE,TELOK KURAU ROAD,Apartment,15,OCR,Freehold,Resale,1,606000,-,420,Strata,01 to 05,1444,Nov-21
63,CRADELS,LORONG LIMAU,Apartment,12,RCR,Freehold,Resale,1,1000000,-,667,Strata,06 to 10,1498,Nov-21
64,RIVIERA 38,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,798000,-,549,Strata,21 to 25,1454,Nov-21
65,ONE FORT,FORT ROAD,Condominium,15,RCR,Freehold,Resale,1,1750000,-,1055,Strata,11 to 15,1659,Nov-21
66,THE SEAWIND,LORONG M TELOK KURAU,Condominium,15,OCR,Freehold,Resale,1,1068000,-,646,Strata,01 to 05,1654,Nov-21
67,VISTA RESIDENCES,JALAN DATOH,Condominium,12,RCR,Freehold,Resale,1,1090000,-,646,Strata,21 to 25,1688,Nov-21
68,8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 yrs lease commencing from 2008,Resale,1,1520000,-,958,Strata,11 to 15,1587,Nov-21
69,CASUARINA COVE,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1993,Resale,1,1160000,-,807,Strata,01 to 05,1437,Nov-21
70,CALARASI,KIM KEAT LANE,Apartment,12,RCR,Freehold,Resale,1,1400000,-,1227,Strata,11 to 15,1141,Nov-21
71,26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,1780000,-,775,Strata,16 to 20,2297,Nov-21
72,MORIMASA GARDENS,GILSTEAD ROAD,Condominium,11,CCR,Freehold,Resale,1,3700000,-,2217,Strata,01 to 05,1669,Nov-21
73,STRATA,ESSEX ROAD,Apartment,11,CCR,Freehold,Resale,1,970000,-,506,Strata,06 to 10,1917,Nov-21
74,THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 yrs lease commencing from 2014,Resale,1,1550000,-,840,Strata,11 to 15,1846,Nov-21
75,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1395000,-,980,Strata,01 to 05,1424,Nov-21
76,SILVERSEA,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2007,Resale,1,1880000,-,1066,Strata,06 to 10,1764,Nov-21
77,TESSA LODGE,MOUNTBATTEN ROAD,Apartment,15,RCR,Freehold,Resale,1,1390000,-,936,Strata,01 to 05,1484,Nov-21
78,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,760000,-,441,Strata,16 to 20,1722,Nov-21
79,SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2011,Resale,1,895000,-,581,Strata,01 to 05,1540,Nov-21
80,SHELFORD SUITES,SHELFORD ROAD,Condominium,11,CCR,Freehold,Resale,1,2050000,-,1292,Strata,01 to 05,1587,Nov-21
81,SILVERSEA,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2007,Resale,1,2675000,-,1507,Strata,01 to 05,1775,Nov-21
82,KIM KEAT GARDENS,KIM KEAT ROAD,Apartment,12,RCR,99 yrs lease commencing from 2001,Resale,1,1600000,-,2583,Strata,11 to 15,619,Nov-21
83,RIVEREDGE,SAMPAN PLACE,Condominium,15,RCR,99 yrs lease commencing from 2004,Resale,1,1580000,-,980,Strata,06 to 10,1613,Nov-21
84,SIMS GREEN,LORONG 27A GEYLANG,Apartment,14,RCR,99 yrs lease commencing from 2001,Resale,1,1520000,-,2153,Strata,06 to 10,706,Nov-21
85,AMBER 45,AMBER ROAD,Apartment,15,RCR,Freehold,Resale,1,2950000,-,1184,Strata,06 to 10,2491,Nov-21
86,THE BEACON EDGE,TEMBELING ROAD,Apartment,15,RCR,Freehold,Resale,1,1168000,-,678,Strata,01 to 05,1722,Nov-21
87,PINNACLE 16,SHAN ROAD,Apartment,12,RCR,Freehold,Resale,1,900000,-,592,Strata,01 to 05,1520,Nov-21
88,EMERY POINT,IPOH LANE,Apartment,15,RCR,Freehold,Resale,1,1970000,-,1324,Strata,11 to 15,1488,Nov-21
89,TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,1640000,-,1109,Strata,01 to 05,1479,Nov-21
90,WATER PLACE,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1998,Resale,1,1840000,-,1281,Strata,06 to 10,1436,Nov-21
91,THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,2800000,-,1604,Strata,01 to 05,1746,Nov-21
92,MEYER RESIDENCE,MEYER PLACE,Apartment,15,RCR,Freehold,Resale,1,2230000,-,1152,Strata,11 to 15,1936,Nov-21
93,COTE D'AZUR,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2001,Resale,1,1650000,-,1141,Strata,06 to 10,1446,Nov-21
94,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,2000000,-,1130,Strata,11 to 15,1770,Nov-21
95,THE SEA VIEW,AMBER ROAD,Condominium,15,RCR,Freehold,Resale,1,1270000,-,560,Strata,16 to 20,2269,Nov-21
96,DAWN VILLE,BUTTERWORTH LANE,Apartment,15,RCR,Freehold,Resale,1,1688000,-,1206,Strata,01 to 05,1400,Nov-21
97,MODA,EAST COAST ROAD,Apartment,15,RCR,Freehold,Resale,1,2600000,-,1615,Strata,16 to 20,1610,Nov-21
98,THE LINCOLN MODERN,LINCOLN ROAD,Apartment,11,CCR,Freehold,Resale,1,2300000,-,1378,Strata,21 to 25,1669,Nov-21
99,MANDALAY MANSION,MINBU ROAD,Apartment,11,CCR,Freehold,Resale,1,2400000,-,2088,Strata,06 to 10,1149,Nov-21
100,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,660000,-,581,Strata,06 to 10,1135,Nov-21
101,26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,2520000,-,1378,Strata,01 to 05,1829,Nov-21
102,FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,Freehold,Resale,1,2160000,-,1238,Strata,01 to 05,1745,Nov-21
