S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1198,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,980000,-,1001,Strata,01 to 05,979,Aug-21
1199,RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1228000,-,1227,Strata,01 to 05,1001,Aug-21
1200,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,850000,-,753,Strata,06 to 10,1128,Aug-21
1201,BLUWATERS 2,JALAN LOYANG BESAR,Condominium,17,OCR,946 yrs lease commencing from 1938,Resale,1,908000,-,947,Strata,01 to 05,959,Aug-21
1202,WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,938000,-,926,Strata,01 to 05,1013,Aug-21
1203,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 yrs lease commencing from 2014,Resale,1,855000,-,689,Strata,11 to 15,1241,Aug-21
1204,THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2013,Resale,1,1000000,-,915,Strata,01 to 05,1093,Aug-21
1205,PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,1260000,-,1141,Strata,11 to 15,1104,Aug-21
1206,SUNHAVEN,UPPER CHANGI ROAD EAST,Condominium,16,OCR,Freehold,Resale,1,1350000,-,1259,Strata,06 to 10,1072,Aug-21
1207,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,918000,-,850,Strata,11 to 15,1080,Aug-21
1208,SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,850000,-,1023,Strata,06 to 10,831,Aug-21
1209,SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,1030000,-,1227,Strata,06 to 10,839,Aug-21
1210,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,Resale,1,888000,-,1184,Strata,11 to 15,750,Aug-21
1211,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,Resale,1,1650000,-,1044,Strata,06 to 10,1580,Aug-21
1212,ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2011,Resale,1,2530000,-,2540,Strata,01 to 05,996,Aug-21
1213,THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,980000,-,775,Strata,11 to 15,1265,Aug-21
1214,BEDOK RESIDENCES,BEDOK NORTH DRIVE,Apartment,16,OCR,99 yrs lease commencing from 2011,Resale,1,1948000,-,1442,Strata,06 to 10,1351,Aug-21
1215,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Resale,1,1190000,-,786,Strata,11 to 15,1514,Aug-21
1216,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2020000,-,1216,Strata,16 to 20,1661,Aug-21
1217,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,995000,-,915,Strata,06 to 10,1088,Aug-21
1218,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1780000,-,1206,Strata,21 to 25,1476,Aug-21
1219,THE CLEARWATER,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 yrs lease commencing from 1997,Resale,1,1072000,-,980,Strata,11 to 15,1094,Aug-21
1220,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1910000,-,1249,Strata,01 to 05,1530,Aug-21
1221,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,1095000,-,980,Strata,06 to 10,1118,Aug-21
1222,PARC CENTROS,PUNGGOL CENTRAL,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,655000,-,463,Strata,06 to 10,1415,Aug-21
1223,LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1168000,-,1259,Strata,11 to 15,927,Aug-21
1224,NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,748000,-,743,Strata,01 to 05,1007,Aug-21
1225,THOMSON V TWO,SIN MING ROAD,Apartment,20,RCR,Freehold,Resale,1,715000,-,517,Strata,01 to 05,1384,Aug-21
1226,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,Resale,1,1105000,-,1238,Strata,11 to 15,893,Aug-21
1227,CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,1025000,-,1130,Strata,06 to 10,907,Aug-21
1228,SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,908000,-,1023,Strata,01 to 05,888,Aug-21
1229,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,Resale,1,770000,-,538,Strata,01 to 05,1431,Aug-21
1230,THE OLD HOUSE,UPPER SERANGOON ROAD,Apartment,19,OCR,Freehold,Resale,1,1800000,-,1830,Strata,01 to 05,984,Aug-21
1231,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,950000,-,1302,Strata,06 to 10,729,Aug-21
1232,FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,780000,-,786,Strata,01 to 05,993,Aug-21
1233,JANSEN 28,JANSEN ROAD,Apartment,19,OCR,999 yrs lease commencing from 1876,Resale,1,1570000,-,1604,Strata,01 to 05,979,Aug-21
1234,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1330000,-,1238,Strata,16 to 20,1074,Aug-21
1235,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,991000,-,915,Strata,06 to 10,1083,Aug-21
1236,LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1350000,-,1346,Strata,06 to 10,1003,Aug-21
1237,THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1055000,-,883,Strata,06 to 10,1195,Aug-21
1238,CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,924888,-,1130,Strata,06 to 10,818,Aug-21
