S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,840000,-,904,Strata,01 to 05,929,Dec-21
2,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1230000,-,1399,Strata,01 to 05,879,Dec-21
3,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,850500,-,904,Strata,01 to 05,941,Dec-21
4,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1180000,-,1023,Strata,01 to 05,1154,Nov-21
5,ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 yrs lease commencing from 1991,Resale,1,1030000,-,1249,Strata,06 to 10,825,Nov-21
6,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1020000,-,926,Strata,11 to 15,1102,Nov-21
7,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1195000,-,947,Strata,11 to 15,1262,Nov-21
8,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1190000,-,1012,Strata,06 to 10,1176,Nov-21
9,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,920000,-,829,Strata,01 to 05,1110,Nov-21
10,D'BANYAN,JALAN SENDUDOK,Apartment,27,OCR,999 yrs lease commencing from 1885,Resale,1,640000,-,570,Strata,01 to 05,1122,Nov-21
11,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,910000,-,743,Strata,01 to 05,1225,Nov-21
12,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,1400000,-,1313,Strata,06 to 10,1066,Nov-21
13,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,645000,-,506,Strata,01 to 05,1275,Nov-21
14,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,700000,-,581,Strata,01 to 05,1204,Nov-21
15,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,650000,-,689,Strata,01 to 05,944,Nov-21
16,SUN PLAZA,SEMBAWANG DRIVE,Apartment,27,OCR,99 yrs lease commencing from 1996,Resale,1,976000,-,1313,Strata,06 to 10,743,Nov-21
17,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,845000,-,570,Strata,01 to 05,1481,Nov-21
18,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,795000,-,764,Strata,01 to 05,1040,Nov-21
19,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1200000,-,1378,Strata,06 to 10,871,Nov-21
20,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,865000,-,689,Strata,16 to 20,1256,Nov-21
21,NORTHWOOD,JALAN MATA AYER,Condominium,27,OCR,Freehold,Resale,1,1496888,-,1335,Strata,01 to 05,1121,Nov-21
22,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1350000,-,1507,Strata,01 to 05,896,Nov-21
23,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1280000,-,1582,Strata,01 to 05,809,Nov-21
24,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1085000,-,1335,Strata,01 to 05,813,Nov-21
25,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,635000,-,441,Strata,11 to 15,1439,Nov-21
26,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,990000,-,1206,Strata,06 to 10,821,Nov-21
27,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1128000,-,1335,Strata,11 to 15,845,Nov-21
28,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1250000,-,1044,Strata,01 to 05,1197,Nov-21
29,ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 yrs lease commencing from 1991,Resale,1,1375088,-,1668,Strata,11 to 15,824,Nov-21
30,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1068000,-,872,Strata,06 to 10,1225,Nov-21
31,SUNRISE GARDENS,SUNRISE AVENUE,Condominium,28,OCR,99 yrs lease commencing from 1995,Resale,1,1120000,-,1442,Strata,01 to 05,776,Nov-21
32,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1650000,-,1572,Strata,01 to 05,1050,Nov-21
33,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,950000,-,883,Strata,01 to 05,1076,Nov-21
34,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,585000,-,452,Strata,06 to 10,1294,Nov-21
35,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,640000,-,495,Strata,11 to 15,1293,Nov-21
36,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,860000,-,904,Strata,01 to 05,951,Nov-21
37,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,910888,-,915,Strata,11 to 15,996,Nov-21
38,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1380000,-,1313,Strata,11 to 15,1051,Nov-21
