S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,CITY LOFT,RACE COURSE ROAD,Apartment,8,RCR,Freehold,Resale,1,645000,-,420,Strata,01 to 05,1536,Dec-21
2,THREE THREE ROBIN,ROBIN ROAD,Apartment,10,CCR,Freehold,Resale,1,2760000,-,1367,Strata,06 to 10,2019,Dec-21
3,LUMA,RIVER VALLEY GROVE,Apartment,9,CCR,Freehold,Resale,1,2000000,-,1173,Strata,01 to 05,1705,Dec-21
4,ZENITH,ZION ROAD,Apartment,10,CCR,999 yrs lease commencing from 1877,Resale,1,1150000,-,560,Strata,01 to 05,2055,Dec-21
5,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,Resale,1,4250000,-,2465,Strata,06 to 10,1724,Dec-21
6,KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 yrs lease commencing from 1998,Resale,1,1435000,-,1259,Strata,01 to 05,1139,Dec-21
7,WILKIE 48,WILKIE ROAD,Apartment,9,CCR,Freehold,Resale,1,1430000,-,893,Strata,06 to 10,1601,Dec-21
8,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,2262000,-,1195,Strata,21 to 25,1893,Dec-21
9,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,2218000,-,1195,Strata,26 to 30,1856,Dec-21
10,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,Resale,1,8820000,-,3907,Strata,01 to 05,2257,Dec-21
11,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1500000,-,840,Strata,11 to 15,1787,Dec-21
12,TRIBECA,KIM SENG ROAD,Condominium,9,CCR,Freehold,Resale,1,1310000,-,570,Strata,16 to 20,2296,Dec-21
13,ONE OXLEY RISE,OXLEY RISE,Apartment,9,CCR,Freehold,Resale,1,1500000,-,710,Strata,06 to 10,2111,Dec-21
