S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,MERALODGE,HILLVIEW AVENUE,Condominium,23,OCR,Freehold,Resale,1,1280000,-,1163,Strata,01 to 05,1101,Dec-21
2,THE MADEIRA,BUKIT BATOK STREET 31,Condominium,23,OCR,99 yrs lease commencing from 2000,Resale,1,1120000,-,1249,Strata,06 to 10,897,Dec-21
3,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 yrs lease commencing from 2012,Resale,1,1238000,-,915,Strata,01 to 05,1353,Dec-21
4,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,752000,-,603,Strata,16 to 20,1248,Dec-21
5,THE MADEIRA,BUKIT BATOK STREET 31,Condominium,23,OCR,99 yrs lease commencing from 2000,Resale,1,1092000,-,1055,Strata,21 to 25,1035,Dec-21
6,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,800000,-,936,Strata,01 to 05,854,Dec-21
7,SYMPHONY HEIGHTS,HUME AVENUE,Condominium,21,OCR,Freehold,Resale,1,1838000,-,1410,Strata,01 to 05,1303,Dec-21
8,PALM GARDENS,HONG SAN WALK,Condominium,23,OCR,99 yrs lease commencing from 1996,Resale,1,947000,-,1206,Strata,01 to 05,786,Dec-21
9,HILLVIEW RESIDENCE,HILLVIEW AVENUE,Condominium,23,OCR,999 yrs lease commencing from 1885,Resale,1,1850000,-,1690,Strata,01 to 05,1095,Dec-21
10,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,690000,-,495,Strata,01 to 05,1394,Dec-21
11,THE CASCADIA,BUKIT TIMAH ROAD,Condominium,21,RCR,Freehold,Resale,1,1080000,-,570,Strata,06 to 10,1893,Dec-21
12,THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,Freehold,Resale,1,1360000,-,786,Strata,01 to 05,1731,Nov-21
13,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1220000,-,1227,Strata,01 to 05,994,Nov-21
14,PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,Apartment,23,OCR,99 yrs lease commencing from 1994,Resale,1,875000,-,1119,Strata,06 to 10,782,Nov-21
15,SOUTHAVEN I,HINDHEDE WALK,Condominium,21,OCR,99 yrs lease commencing from 1994,Resale,1,2450000,-,2960,Strata,06 to 10,828,Nov-21
16,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,Resale,1,1100000,-,764,Strata,06 to 10,1439,Nov-21
17,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1450000,-,1023,Strata,11 to 15,1418,Nov-21
18,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,675000,-,495,Strata,01 to 05,1363,Nov-21
19,TERRENE AT BUKIT TIMAH,JALAN JURONG KECHIL,Condominium,21,RCR,999 yrs lease commencing from 1885,Resale,1,1883000,-,1076,Strata,01 to 05,1749,Nov-21
20,HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Condominium,23,OCR,99 yrs lease commencing from 2000,Resale,1,1120000,-,1109,Strata,06 to 10,1010,Nov-21
21,PANDAN VALLEY,PANDAN VALLEY,Condominium,21,RCR,Freehold,Resale,1,2500000,-,1647,Strata,06 to 10,1518,Nov-21
22,HILLSTA,PHOENIX ROAD,Condominium,23,OCR,99 yrs lease commencing from 2011,Resale,1,650000,-,527,Strata,06 to 10,1232,Nov-21
23,KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 yrs lease commencing from 2012,Resale,1,1375000,-,1044,Strata,01 to 05,1317,Nov-21
24,TREE HOUSE,CHESTNUT AVENUE,Condominium,23,OCR,99 yrs lease commencing from 2009,Resale,1,877888,-,743,Strata,06 to 10,1182,Nov-21
25,HILLVIEW GREEN,HUME AVENUE,Condominium,21,OCR,999 yrs lease commencing from 1883,Resale,1,1700000,-,1281,Strata,06 to 10,1327,Nov-21
26,SIGNATURE PARK,TOH TUCK ROAD,Condominium,21,RCR,Freehold,Resale,1,1500000,-,1055,Strata,06 to 10,1422,Nov-21
27,GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 yrs lease commencing from 1996,Resale,1,1730000,-,1701,Strata,21 to 25,1017,Nov-21
28,ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 yrs lease commencing from 2012,Resale,1,1270000,-,1023,Strata,01 to 05,1242,Nov-21
